State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
NSW,2019,Friday,Single,No,No,No,50,Driver,Female,51,Inner Regional Australia,40_to_64,Day
Qld,2019,Tuesday,Single,No,No,No,100,Motorcycle rider,Male,76,Inner Regional Australia,75_or_older,Day
Qld,2019,Tuesday,Multiple,No,No,Yes,100,Driver,Male,53,Inner Regional Australia,40_to_64,Day
WA,2019,Tuesday,Single,No,No,No,60,Driver,Male,83,Major Cities of Australia,75_or_older,Day
Qld,2019,Wednesday,Multiple,No,No,No,60,Pedal cyclist,Male,78,Major Cities of Australia,75_or_older,Day
NSW,2019,Friday,Single,No,No,No,60,Driver,Male,41,Major Cities of Australia,40_to_64,Night
Qld,2019,Friday,Pedestrian,No,No,No,60,Pedestrian,Male,20,Outer Regional Australia,17_to_25,Night
NSW,2019,Tuesday,Single,No,No,No,50,Pedestrian,Female,74,Major Cities of Australia,65_to_74,Day
Qld,2019,Monday,Single,No,No,No,80,Pedestrian,Male,38,Major Cities of Australia,26_to_39,Night
NSW,2019,Thursday,Multiple,No,No,Yes,60,Driver,Male,24,Major Cities of Australia,17_to_25,Night
NSW,2019,Tuesday,Single,No,No,No,50,Pedestrian,Female,70,Major Cities of Australia,65_to_74,Night
Vic,2019,Sunday,Multiple,No,No,No,80,Passenger,Female,19,Major Cities of Australia,17_to_25,Night
Vic,2019,Sunday,Multiple,No,No,No,80,Driver,Male,21,Major Cities of Australia,17_to_25,Night
Qld,2019,Sunday,Single,No,No,No,100,Driver,Male,19,Major Cities of Australia,17_to_25,Night
Qld,2019,Sunday,Single,No,No,No,80,Motorcycle rider,Male,22,Outer Regional Australia,17_to_25,Day
NSW,2019,Sunday,Single,No,No,No,60,Motorcycle pillion passenger,Female,22,Major Cities of Australia,17_to_25,Day
NSW,2019,Sunday,Single,No,No,No,100,Passenger,Male,17,Inner Regional Australia,17_to_25,Day
WA,2019,Sunday,Multiple,Yes,No,No,100,Passenger,Female,23,Outer Regional Australia,17_to_25,Day
WA,2019,Sunday,Multiple,Yes,No,No,100,Driver,Female,24,Outer Regional Australia,17_to_25,Day
Vic,2019,Sunday,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,17_to_25,Day
NSW,2019,Sunday,Multiple,No,No,No,80,Motorcycle rider,Male,24,Inner Regional Australia,17_to_25,Day
NSW,2019,Sunday,Single,No,No,No,60,Motorcycle rider,Male,33,Major Cities of Australia,26_to_39,Day
NSW,2019,Saturday,Single,No,No,Yes,100,Driver,Male,43,Outer Regional Australia,40_to_64,Night
WA,2019,Sunday,Multiple,No,No,No,60,Driver,Male,55,Major Cities of Australia,40_to_64,Day
Tas,2019,Saturday,Multiple,No,No,No,50,Driver,Male,60,Outer Regional Australia,40_to_64,Day
NSW,2019,Saturday,Multiple,No,No,No,100,Motorcycle rider,Male,47,Inner Regional Australia,40_to_64,Day
NSW,2019,Saturday,Single,No,No,No,100,Driver,Female,23,Inner Regional Australia,17_to_25,Day
Vic,2019,Saturday,Single,No,No,No,50,Passenger,Female,32,Major Cities of Australia,26_to_39,Day
SA,2019,Saturday,Single,No,No,No,50,Driver,Male,46,Major Cities of Australia,40_to_64,Day
NSW,2019,Sunday,Multiple,No,No,No,80,Passenger,Female,79,Inner Regional Australia,75_or_older,Day
NSW,2019,Sunday,Multiple,No,No,No,80,Driver,Male,80,Inner Regional Australia,75_or_older,Day
NSW,2019,Saturday,Multiple,No,No,No,80,Driver,Male,79,Outer Regional Australia,75_or_older,Day
Vic,2019,Friday,Single,No,No,No,60,Driver,Male,23,Major Cities of Australia,17_to_25,Day
NT,2019,Friday,Single,No,No,No,110,Motorcycle rider,Male,19,Very Remote Australia,17_to_25,Day
SA,2019,Tuesday,Single,No,No,No,60,Driver,Male,23,Major Cities of Australia,17_to_25,Day
NSW,2019,Friday,Single,No,No,No,100,Passenger,Male,72,Inner Regional Australia,65_to_74,Night
Vic,2019,Saturday,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,17_to_25,Night
Vic,2019,Saturday,Single,No,No,No,100,Passenger,Male,17,Inner Regional Australia,17_to_25,Night
NSW,2019,Friday,Multiple,No,No,No,70,Passenger,Female,25,Major Cities of Australia,17_to_25,Night
Qld,2019,Saturday,Single,No,No,No,100,Passenger,Male,30,Very Remote Australia,26_to_39,Night
NSW,2019,Monday,Multiple,No,No,No,100,Motorcycle rider,Male,39,Inner Regional Australia,26_to_39,Day
Vic,2019,Tuesday,Single,No,No,No,80,Driver,Male,31,Inner Regional Australia,26_to_39,Day
Qld,2019,Tuesday,Multiple,No,No,No,100,Driver,Female,62,Outer Regional Australia,40_to_64,Day
Vic,2019,Thursday,Multiple,No,No,No,70,Motorcycle rider,Male,55,Major Cities of Australia,40_to_64,Day
NSW,2019,Tuesday,Single,No,No,No,110,Driver,Male,43,Very Remote Australia,40_to_64,Day
Vic,2019,Tuesday,Single,No,No,No,50,Motorcycle rider,Male,62,Inner Regional Australia,40_to_64,Day
NSW,2019,Friday,Multiple,No,No,No,50,Motorcycle rider,Male,57,Inner Regional Australia,40_to_64,Day
Qld,2019,Tuesday,Single,No,No,No,100,Motorcycle rider,Male,63,Outer Regional Australia,40_to_64,Day
Qld,2019,Tuesday,Multiple,No,No,No,100,Driver,Female,62,Outer Regional Australia,40_to_64,Day
Qld,2019,Wednesday,Multiple,No,No,Yes,70,Driver,Male,19,Major Cities of Australia,17_to_25,Night
ACT,2019,Tuesday,Multiple,No,No,Yes,100,Driver,Male,68,Inner Regional Australia,65_to_74,Day
WA,2019,Friday,Single,No,No,No,80,Driver,Female,69,Outer Regional Australia,65_to_74,Day
WA,2019,Wednesday,Multiple,No,No,No,60,Passenger,Female,72,Major Cities of Australia,65_to_74,Day
NSW,2019,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,65,Outer Regional Australia,65_to_74,Day
Qld,2019,Tuesday,Multiple,No,No,No,100,Passenger,Female,74,Outer Regional Australia,65_to_74,Day
Vic,2019,Friday,Multiple,No,No,No,100,Passenger,Female,23,Inner Regional Australia,17_to_25,Day
Vic,2019,Friday,Multiple,No,No,No,100,Passenger,Male,39,Inner Regional Australia,26_to_39,Day
NSW,2019,Tuesday,Multiple,No,No,No,50,Motorcycle rider,Male,41,Major Cities of Australia,40_to_64,Night
WA,2019,Monday,Multiple,No,No,Yes,110,Driver,Male,53,Outer Regional Australia,40_to_64,Night
NSW,2019,Thursday,Single,No,No,No,80,Driver,Male,17,Inner Regional Australia,17_to_25,Day
WA,2019,Monday,Single,No,No,No,110,Driver,Female,85,Outer Regional Australia,75_or_older,Day
Qld,2019,Saturday,Single,No,No,No,80,Pedestrian,Male,23,Inner Regional Australia,17_to_25,Day
NSW,2019,Friday,Single,No,No,No,50,Pedestrian,Male,52,Major Cities of Australia,40_to_64,Night
NSW,2019,Friday,Single,No,No,No,40,Pedestrian,Male,12,Major Cities of Australia,0_to_16,Day
Qld,2019,Thursday,Single,No,No,No,80,Pedestrian,Female,29,Outer Regional Australia,26_to_39,Night
NSW,2019,Friday,Multiple,No,No,No,70,Driver,Female,45,Major Cities of Australia,40_to_64,Night
Tas,2019,Sunday,Single,No,No,No,80,Driver,Male,20,Outer Regional Australia,17_to_25,Night
WA,2019,Thursday,Single,No,No,No,60,Passenger,Female,22,Major Cities of Australia,17_to_25,Night
NSW,2019,Sunday,Single,No,No,No,100,Driver,Male,34,Very Remote Australia,26_to_39,Night
WA,2019,Thursday,Single,No,No,No,110,Driver,Female,34,Very Remote Australia,26_to_39,Night
Qld,2019,Tuesday,Multiple,No,No,Yes,100,Motorcycle rider,Male,58,Inner Regional Australia,40_to_64,Night
WA,2019,Monday,Single,No,No,No,110,Driver,Male,61,Remote Australia,40_to_64,Night
NSW,2019,Tuesday,Single,No,No,No,60,Passenger,Female,9,Major Cities of Australia,0_to_16,Day
Vic,2019,Sunday,Multiple,No,No,No,80,Passenger,Male,16,Major Cities of Australia,0_to_16,Day
WA,2019,Saturday,Single,No,No,No,110,Passenger,Female,12,Very Remote Australia,0_to_16,Day
NSW,2019,Sunday,Multiple,No,No,No,50,Driver,Male,47,Inner Regional Australia,40_to_64,Night
Vic,2019,Sunday,Multiple,No,No,No,80,Passenger,Female,18,Major Cities of Australia,17_to_25,Day
Qld,2019,Saturday,Multiple,No,Yes,No,80,Driver,Male,34,Major Cities of Australia,26_to_39,Day
Qld,2019,Sunday,Single,No,No,No,100,Driver,Male,35,Remote Australia,26_to_39,Day
Qld,2019,Saturday,Single,No,No,No,70,Driver,Male,47,Inner Regional Australia,40_to_64,Day
SA,2019,Saturday,Single,No,Yes,No,110,Passenger,Male,27,Very Remote Australia,26_to_39,Day
NSW,2019,Saturday,Multiple,No,No,No,100,Pedal cyclist,Female,52,Outer Regional Australia,40_to_64,Day
Qld,2019,Sunday,Multiple,No,No,No,80,Driver,Male,68,Very Remote Australia,65_to_74,Day
NSW,2019,Saturday,Multiple,No,No,No,110,Driver,Male,60,Inner Regional Australia,40_to_64,Day
WA,2019,Sunday,Multiple,No,No,No,50,Passenger,Male,81,Major Cities of Australia,75_or_older,Day
NSW,2019,Saturday,Single,No,No,No,110,Driver,Male,52,Inner Regional Australia,40_to_64,Night
NSW,2019,Friday,Multiple,No,No,No,80,Passenger,Male,88,Inner Regional Australia,75_or_older,Night
NSW,2019,Saturday,Single,No,No,No,60,Motorcycle rider,Male,24,Inner Regional Australia,17_to_25,Night
NSW,2019,Saturday,Single,No,No,No,90,Motorcycle rider,Male,25,Inner Regional Australia,17_to_25,Night
NSW,2019,Saturday,Single,No,No,No,110,Driver,Male,34,Inner Regional Australia,26_to_39,Night
Qld,2019,Saturday,Single,No,No,No,80,Driver,Male,20,Major Cities of Australia,17_to_25,Night
WA,2019,Tuesday,Single,No,No,No,110,Driver,Male,43,Inner Regional Australia,40_to_64,Day
NT,2019,Monday,Single,No,No,No,100,Driver,Female,55,Very Remote Australia,40_to_64,Day
NSW,2019,Thursday,Single,No,No,No,80,Driver,Male,61,Inner Regional Australia,40_to_64,Day
NSW,2019,Thursday,Multiple,No,No,No,100,Driver,Male,53,Inner Regional Australia,40_to_64,Day
SA,2019,Thursday,Multiple,No,No,No,110,Driver,Male,51,Major Cities of Australia,40_to_64,Day
NSW,2019,Tuesday,Single,No,No,No,60,Driver,Male,17,Major Cities of Australia,17_to_25,Night
Vic,2019,Friday,Multiple,No,No,No,80,Passenger,Female,74,Inner Regional Australia,65_to_74,Day
NSW,2019,Tuesday,Multiple,No,No,No,90,Passenger,Female,68,Inner Regional Australia,65_to_74,Day
WA,2019,Wednesday,Multiple,No,No,No,50,Motorcycle rider,Male,41,Major Cities of Australia,40_to_64,Night
Qld,2019,Friday,Single,No,No,No,60,Driver,Male,18,Major Cities of Australia,17_to_25,Day
Qld,2019,Thursday,Multiple,No,No,Yes,100,Driver,Male,77,Inner Regional Australia,75_or_older,Day
NSW,2019,Thursday,Multiple,No,No,No,60,Driver,Male,84,Major Cities of Australia,75_or_older,Day
Vic,2019,Saturday,Single,No,No,No,60,Pedestrian,Male,82,Major Cities of Australia,75_or_older,Day
SA,2019,Monday,Single,No,No,No,70,Pedestrian,Male,20,Major Cities of Australia,17_to_25,Day
Vic,2019,Friday,Single,No,No,No,60,Pedestrian,Male,25,Inner Regional Australia,17_to_25,Night
Qld,2019,Friday,Single,No,No,No,60,Pedestrian,Male,45,Inner Regional Australia,40_to_64,Night
Vic,2019,Wednesday,Single,No,No,No,80,Driver,Male,22,Major Cities of Australia,17_to_25,Night
NSW,2019,Friday,Single,No,No,No,50,Pedestrian,Male,76,Inner Regional Australia,75_or_older,Day
NSW,2019,Wednesday,Single,No,No,No,110,Motorcycle rider,Male,33,Major Cities of Australia,26_to_39,Night
Vic,2019,Thursday,Single,No,No,No,80,Pedestrian,Female,20,Major Cities of Australia,17_to_25,Night
Vic,2019,Thursday,Single,No,No,No,50,Pedestrian,Male,45,Major Cities of Australia,40_to_64,Night
NT,2019,Tuesday,Single,No,No,No,80,Passenger,Male,5,Remote Australia,0_to_16,Night
NSW,2019,Thursday,Multiple,No,No,No,60,Passenger,Male,23,Major Cities of Australia,17_to_25,Night
WA,2019,Tuesday,Multiple,Yes,No,No,110,Driver,Male,37,Outer Regional Australia,26_to_39,Night
WA,2019,Tuesday,Multiple,No,No,No,60,Motorcycle rider,Male,37,Major Cities of Australia,26_to_39,Night
NSW,2019,Friday,Single,No,No,No,110,Driver,Male,32,Outer Regional Australia,26_to_39,Night
WA,2019,Saturday,Single,No,No,No,60,Driver,Male,24,Major Cities of Australia,17_to_25,Day
NSW,2019,Saturday,Single,No,No,No,80,Motorcycle rider,Male,64,Outer Regional Australia,40_to_64,Day
Qld,2019,Saturday,Single,No,No,No,100,Passenger,Female,26,Outer Regional Australia,26_to_39,Day
Qld,2019,Monday,Multiple,No,No,Yes,100,Driver,Male,61,Very Remote Australia,40_to_64,Night
WA,2019,Saturday,Multiple,No,No,No,50,Motorcycle rider,Male,44,Outer Regional Australia,40_to_64,Day
NSW,2019,Saturday,Single,No,No,No,60,Driver,Male,42,Major Cities of Australia,40_to_64,Day
NSW,2019,Sunday,Multiple,No,No,No,80,Motorcycle rider,Male,73,Outer Regional Australia,65_to_74,Day
WA,2019,Wednesday,Multiple,No,No,No,60,Motorcycle rider,Male,23,Inner Regional Australia,17_to_25,Day
NSW,2019,Tuesday,Multiple,Yes,No,No,50,Pedal cyclist,Male,17,Major Cities of Australia,17_to_25,Day
Vic,2019,Friday,Single,No,No,No,60,Motorcycle rider,Male,47,Major Cities of Australia,40_to_64,Night
WA,2019,Friday,Single,No,No,No,80,Driver,Female,26,Very Remote Australia,26_to_39,Day
SA,2019,Tuesday,Multiple,No,Yes,No,70,Motorcycle rider,Male,30,Major Cities of Australia,26_to_39,Day
SA,2019,Thursday,Multiple,No,No,Yes,110,Driver,Male,26,Inner Regional Australia,26_to_39,Day
Qld,2019,Friday,Single,No,No,No,100,Driver,Male,24,Outer Regional Australia,17_to_25,Night
Vic,2019,Monday,Single,No,No,No,50,Driver,Female,52,Major Cities of Australia,40_to_64,Day
NSW,2019,Saturday,Multiple,No,No,No,50,Passenger,Female,81,Major Cities of Australia,75_or_older,Night
NSW,2019,Saturday,Multiple,No,No,No,50,Driver,Male,83,Major Cities of Australia,75_or_older,Night
Qld,2019,Friday,Multiple,No,No,No,100,Driver,Female,63,Inner Regional Australia,40_to_64,Day
NSW,2019,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,50,Inner Regional Australia,40_to_64,Day
SA,2019,Thursday,Multiple,No,No,Yes,110,Driver,Male,64,Inner Regional Australia,40_to_64,Day
WA,2019,Wednesday,Single,No,No,No,110,Driver,Male,41,Inner Regional Australia,40_to_64,Day
NSW,2019,Thursday,Single,No,No,No,50,Motorcycle rider,Male,23,Inner Regional Australia,17_to_25,Night
Qld,2019,Thursday,Single,No,No,No,80,Driver,Male,18,Inner Regional Australia,17_to_25,Night
Vic,2019,Monday,Single,No,No,No,100,Driver,Female,69,Inner Regional Australia,65_to_74,Day
Qld,2019,Monday,Single,No,No,No,80,Motorcycle rider,Male,66,Inner Regional Australia,65_to_74,Day
Qld,2019,Monday,Single,No,No,Yes,80,Driver,Male,71,Inner Regional Australia,65_to_74,Day
Qld,2019,Friday,Single,No,No,No,100,Driver,Male,35,Inner Regional Australia,26_to_39,Night
Vic,2019,Friday,Single,No,No,No,40,Driver,Male,68,Major Cities of Australia,65_to_74,Day
NT,2019,Tuesday,Single,No,No,No,80,Driver,Male,27,Remote Australia,26_to_39,Night
SA,2019,Friday,Single,No,No,No,110,Passenger,Female,21,Very Remote Australia,17_to_25,Day
Tas,2019,Friday,Single,No,No,No,60,Driver,Male,85,Outer Regional Australia,75_or_older,Day
NSW,2019,Friday,Single,No,No,No,80,Motorcycle rider,Male,71,Inner Regional Australia,65_to_74,Day
Qld,2019,Friday,Single,No,No,No,100,Driver,Female,47,Inner Regional Australia,40_to_64,Day
Qld,2019,Friday,Single,No,No,No,80,Driver,Male,43,Outer Regional Australia,40_to_64,Day
Vic,2019,Monday,Multiple,No,No,No,80,Passenger,Female,93,Major Cities of Australia,75_or_older,Day
Qld,2019,Monday,Single,No,No,No,100,Driver,Female,78,Major Cities of Australia,75_or_older,Day
Qld,2019,Wednesday,Multiple,No,Yes,No,100,Driver,Male,90,Outer Regional Australia,75_or_older,Day
NSW,2019,Tuesday,Multiple,No,No,No,50,Motorcycle rider,Male,18,Major Cities of Australia,17_to_25,Day
NSW,2019,Thursday,Single,No,No,No,80,Passenger,Male,89,Inner Regional Australia,75_or_older,Day
Qld,2019,Sunday,Single,No,No,No,60,Pedestrian,Male,58,Inner Regional Australia,40_to_64,Night
Vic,2019,Saturday,Single,No,No,No,70,Pedestrian,Male,47,Major Cities of Australia,40_to_64,Night
SA,2019,Thursday,Single,No,No,No,25,Pedestrian,Female,31,Major Cities of Australia,26_to_39,Day
Qld,2019,Saturday,Single,No,No,No,60,Pedestrian,Male,76,Inner Regional Australia,75_or_older,Night
NSW,2019,Thursday,Single,No,No,No,40,Pedestrian,Female,81,Major Cities of Australia,75_or_older,Day
Vic,2019,Monday,Single,No,No,No,40,Pedestrian,Male,88,Major Cities of Australia,75_or_older,Day
Qld,2019,Sunday,Multiple,No,No,No,50,Driver,Male,19,Major Cities of Australia,17_to_25,Night
Qld,2019,Wednesday,Multiple,No,No,No,70,Motorcycle rider,Male,33,Inner Regional Australia,26_to_39,Night
WA,2019,Tuesday,Multiple,No,No,No,60,Driver,Male,63,Major Cities of Australia,40_to_64,Night
WA,2019,Tuesday,Single,No,No,No,110,Driver,Male,51,Remote Australia,40_to_64,Night
WA,2019,Wednesday,Single,No,No,No,50,Motorcycle rider,Male,48,Major Cities of Australia,40_to_64,Night
NSW,2019,Monday,Single,No,No,No,100,Driver,Male,51,Inner Regional Australia,40_to_64,Night
Vic,2019,Saturday,Single,No,No,No,60,Motorcycle rider,Male,25,Major Cities of Australia,17_to_25,Day
Tas,2019,Saturday,Multiple,No,No,No,100,Driver,Female,56,Outer Regional Australia,40_to_64,Day
Qld,2019,Saturday,Multiple,No,No,No,70,Motorcycle rider,Male,31,Major Cities of Australia,26_to_39,Day
NSW,2019,Saturday,Single,No,No,No,80,Motorcycle rider,Male,27,Inner Regional Australia,26_to_39,Day
Qld,2019,Saturday,Multiple,No,No,No,100,Pedal cyclist,Male,53,Outer Regional Australia,40_to_64,Day
NSW,2019,Sunday,Single,No,No,No,80,Passenger,Male,22,Inner Regional Australia,17_to_25,Day
Qld,2019,Monday,Single,No,No,No,100,Passenger,Male,16,Inner Regional Australia,0_to_16,Day
SA,2019,Monday,Single,No,No,No,80,Driver,Male,24,Inner Regional Australia,17_to_25,Day
Qld,2019,Monday,Single,No,No,No,100,Driver,Male,19,Inner Regional Australia,17_to_25,Day
Vic,2019,Saturday,Multiple,No,No,No,70,Passenger,Male,18,Major Cities of Australia,17_to_25,Night
Vic,2019,Saturday,Single,No,No,No,110,Driver,Male,34,Inner Regional Australia,26_to_39,Night
NSW,2019,Tuesday,Multiple,No,No,Yes,80,Motorcycle rider,Male,22,Major Cities of Australia,17_to_25,Day
WA,2019,Thursday,Single,No,Yes,No,110,Driver,Male,22,Very Remote Australia,17_to_25,Day
Qld,2019,Friday,Multiple,No,No,No,90,Motorcycle rider,Male,33,Inner Regional Australia,26_to_39,Night
Qld,2019,Saturday,Multiple,No,No,Yes,100,Driver,Male,72,Very Remote Australia,65_to_74,Night
Tas,2019,Monday,Multiple,No,No,Yes,100,Driver,Male,60,Outer Regional Australia,40_to_64,Day
NSW,2019,Saturday,Multiple,No,No,No,80,Driver,Male,25,Major Cities of Australia,17_to_25,Night
Vic,2019,Thursday,Multiple,No,Yes,No,60,Passenger,Female,58,Major Cities of Australia,40_to_64,Day
Vic,2019,Thursday,Multiple,No,Yes,No,60,Driver,Male,64,Major Cities of Australia,40_to_64,Day
SA,2019,Monday,Single,No,No,No,100,Driver,Male,46,Inner Regional Australia,40_to_64,Day
Tas,2019,Friday,Multiple,No,No,No,110,Driver,Female,67,Outer Regional Australia,65_to_74,Day
SA,2019,Tuesday,Single,No,No,No,80,Driver,Male,27,Major Cities of Australia,26_to_39,Night
NSW,2019,Wednesday,Single,No,No,No,50,Pedal cyclist,Male,51,Major Cities of Australia,40_to_64,Night
Vic,2019,Thursday,Multiple,Yes,No,Yes,100,Driver,Male,60,Outer Regional Australia,40_to_64,Night
Qld,2019,Friday,Single,No,No,No,100,Passenger,Male,33,Very Remote Australia,26_to_39,Day
Qld,2019,Friday,Single,No,No,No,100,Driver,Male,26,Very Remote Australia,26_to_39,Day
WA,2019,Monday,Single,No,No,No,80,Driver,Female,29,Inner Regional Australia,26_to_39,Day
NT,2019,Tuesday,Single,No,No,No,50,Motorcycle rider,Male,52,Outer Regional Australia,40_to_64,Day
Vic,2019,Wednesday,Multiple,Yes,No,No,60,Passenger,Female,86,Inner Regional Australia,75_or_older,Day
NSW,2019,Monday,Multiple,No,Yes,No,80,Driver,Male,90,Inner Regional Australia,75_or_older,Day
NSW,2019,Monday,Single,No,No,No,80,Pedestrian,Male,26,Major Cities of Australia,26_to_39,Night
NSW,2019,Monday,Single,No,No,Yes,110,Pedestrian,Male,49,Outer Regional Australia,40_to_64,Night
SA,2019,Wednesday,Single,No,No,No,50,Pedestrian,Male,37,Inner Regional Australia,26_to_39,Night
Vic,2019,Friday,Single,No,No,No,60,Pedestrian,Female,75,Major Cities of Australia,75_or_older,Day
Vic,2019,Friday,Single,No,No,No,50,Pedestrian,Male,88,Major Cities of Australia,75_or_older,Day
NSW,2019,Thursday,Single,No,No,No,60,Pedestrian,Male,61,Major Cities of Australia,40_to_64,Night
NSW,2019,Thursday,Multiple,No,No,No,60,Driver,Male,80,Major Cities of Australia,75_or_older,Night
Vic,2019,Thursday,Single,Yes,No,No,60,Pedestrian,Female,72,Major Cities of Australia,65_to_74,Night
Vic,2019,Monday,Single,No,No,No,60,Pedestrian,Female,92,Major Cities of Australia,75_or_older,Night
WA,2019,Friday,Single,No,No,No,90,Driver,Male,34,Inner Regional Australia,26_to_39,Night
NSW,2019,Sunday,Single,No,No,No,100,Passenger,Female,22,Inner Regional Australia,17_to_25,Night
NSW,2019,Sunday,Single,No,No,No,100,Passenger,Male,21,Inner Regional Australia,17_to_25,Night
